"famunit","age","sex","educ","labforce","employed","retired","incwage","incss"
409,67,"woman","some_college","no","no","yes",40000,"YES"
410,79,"woman","no_college","no","no","no",0,"YES"
411,47,"man","no_college","yes","yes","no",0,"NO"
412,61,"woman","college_plus","no","no","no",0,"YES"
413,94,"woman","no_college","no","no","no",0,"YES"
414,28,"man","no_college","yes","yes","no",31600,"NO"
415,52,"man","no_college","no","no","no",0,"YES"
416,19,"man","no_college","no","no","no",0,"NO"
417,59,"man","some_college","yes","no","no",5000,"NO"
418,70,"woman","some_college","no","no","no",0,"YES"
419,16,"man","no_college","no","no","no",0,"NO"
420,21,"woman","some_college","yes","yes","no",6000,"NO"
421,49,"woman","no_college","yes","yes","no",8000,"NO"
422,30,"man","no_college","yes","no","no",0,"NO"
423,85,"man","some_college","no","no","no",0,"YES"
424,94,"woman","no_college","no","no","no",0,"NO"
425,21,"man","some_college","yes","yes","no",7500,"NO"
426,53,"man","no_college","yes","yes","no",62000,"NO"
427,40,"man","some_college","yes","yes","no",40000,"NO"
428,45,"woman","college_plus","yes","yes","no",85000,"NO"
429,93,"woman","no_college","no","no","no",0,"YES"
430,56,"woman","some_college","no","no","no",1100,"NO"
431,52,"man","some_college","yes","yes","no",55000,"NO"
432,24,"man","some_college","yes","yes","no",29000,"NO"
433,20,"woman","some_college","no","no","no",480,"NO"
434,19,"man","no_college","yes","yes","no",15000,"NO"
435,85,"woman","no_college","no","no","no",0,"YES"
436,78,"woman","no_college","no","no","no",0,"YES"
437,75,"woman","no_college","no","no","no",0,"YES"
438,60,"woman","college_plus","yes","yes","no",78000,"NO"
439,70,"man","no_college","no","no","no",0,"YES"
440,86,"man","some_college","yes","no","no",0,"YES"
441,64,"woman","no_college","yes","yes","no",3700,"YES"
442,45,"woman","some_college","no","no","no",3000,"NO"
443,36,"man","college_plus","yes","yes","no",2e+05,"NO"
444,76,"man","no_college","yes","yes","no",18000,"YES"
445,52,"woman","no_college","yes","yes","no",7700,"NO"
446,81,"woman","no_college","no","no","no",0,"YES"
447,18,"woman","some_college","no","no","no",0,"NO"
448,44,"woman","college_plus","yes","yes","no",125000,"NO"
449,24,"woman","college_plus","yes","yes","no",37200,"NO"
450,55,"man","some_college","no","no","no",0,"NO"
451,64,"man","college_plus","no","no","no",0,"YES"
452,61,"man","college_plus","yes","yes","no",60000,"NO"
453,73,"woman","no_college","no","no","no",0,"YES"
454,54,"man","college_plus","yes","yes","no",60000,"NO"
455,66,"woman","no_college","no","no","no",0,"YES"
456,53,"man","college_plus","yes","yes","no",90000,"NO"
457,25,"woman","college_plus","yes","yes","no",42000,"NO"
458,27,"man","college_plus","yes","yes","no",42000,"NO"
459,61,"woman","no_college","yes","yes","no",25000,"NO"
460,19,"woman","some_college","no","no","no",1000,"NO"
461,94,"woman","no_college","no","no","no",0,"YES"
462,41,"man","college_plus","yes","yes","no",90000,"NO"
463,70,"woman","some_college","no","no","no",0,"YES"
464,46,"man","some_college","yes","yes","no",72000,"NO"
465,68,"woman","no_college","no","no","no",0,"YES"
466,34,"woman","college_plus","yes","yes","no",31400,"NO"
467,64,"woman","some_college","no","no","no",0,"YES"
468,23,"man","some_college","yes","yes","no",21000,"NO"
469,50,"woman","some_college","yes","yes","no",32000,"NO"
470,30,"man","some_college","yes","yes","no",41400,"NO"
471,57,"man","some_college","no","no","no",0,"NO"
472,22,"man","no_college","yes","yes","no",400,"NO"
473,30,"man","no_college","yes","yes","no",26000,"NO"
474,19,"woman","no_college","no","no","no",11000,"NO"
475,54,"woman","some_college","no","no","no",0,"NO"
476,45,"man","college_plus","yes","yes","no",46000,"NO"
477,19,"man","some_college","no","no","no",0,"NO"
478,75,"woman","no_college","no","no","no",0,"YES"
479,37,"man","college_plus","yes","yes","no",28000,"NO"
480,33,"man","some_college","yes","yes","no",40000,"NO"
481,23,"man","no_college","yes","yes","no",42000,"NO"
482,87,"woman","college_plus","no","no","no",0,"YES"
483,57,"man","college_plus","yes","yes","no",0,"NO"
484,25,"woman","some_college","yes","yes","no",34000,"NO"
485,30,"woman","no_college","yes","yes","no",0,"NO"
486,75,"woman","no_college","no","no","no",0,"YES"
487,42,"woman","no_college","yes","yes","no",25000,"NO"
488,77,"man","no_college","no","no","no",0,"YES"
489,80,"man","some_college","no","no","no",0,"YES"
490,39,"man","some_college","yes","yes","no",34700,"NO"
491,19,"man","some_college","no","no","no",0,"NO"
492,50,"woman","some_college","yes","yes","no",80000,"NO"
493,54,"man","no_college","yes","yes","no",40000,"NO"
494,59,"man","no_college","yes","yes","no",42000,"NO"
495,20,"man","some_college","yes","no","no",2200,"NO"
496,80,"woman","no_college","no","no","no",0,"NO"
497,59,"woman","college_plus","yes","yes","no",65000,"NO"
498,61,"man","no_college","yes","yes","no",28000,"NO"
499,87,"woman","no_college","no","no","no",0,"YES"
500,30,"woman","college_plus","yes","yes","no",1e+05,"NO"
501,34,"man","some_college","yes","yes","no",310000,"NO"
502,29,"man","college_plus","yes","yes","no",52000,"NO"
503,78,"man","no_college","no","no","no",0,"YES"
504,56,"woman","some_college","no","no","no",0,"NO"
505,21,"woman","some_college","yes","yes","no",1500,"NO"
506,58,"woman","no_college","no","no","no",0,"NO"
507,57,"woman","no_college","no","no","no",0,"NO"
508,66,"man","no_college","no","no","no",0,"YES"
509,75,"man","some_college","no","no","no",0,"YES"
510,87,"woman","no_college","no","no","no",0,"NO"
511,15,"woman","no_college",NA,NA,"no",NA,"YES"
512,17,"man","no_college","yes","yes","no",1000,"NO"
513,82,"woman","college_plus","no","no","no",0,"NO"
514,38,"man","college_plus","yes","yes","no",29000,"NO"
515,18,"man","no_college","yes","yes","no",35000,"NO"
516,48,"woman","college_plus","yes","yes","no",87000,"NO"
517,85,"man","no_college","no","no","no",0,"YES"
518,0,"woman","no_college",NA,NA,"no",NA,"YES"
519,88,"man","no_college","no","no","no",0,"YES"
520,44,"man","college_plus","yes","yes","no",44000,"NO"
521,26,"woman","no_college","no","no","no",0,"NO"
522,23,"man","some_college","no","no","no",0,"NO"
523,38,"man","some_college","yes","yes","no",27000,"NO"
